"Listing of the SUBTLEX-GR entries that resulted from the spell-checking process along with their frequency and lexical characteristics." 
"Please refer to the manuscript for a detailed description of the information contained in each column." 
 
 
"ID" "Word" "FREQcount" "CD" "SUBTLEX_WF" "Lg10WF" "SUBTLEX_CD" "Lg10CD" "FREQlow" "FREQupper" "N" "OLD20" "Length" "SUBTLEX_WF_full"
98 "αβλεψίες" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.85 8 0.0360
99 "αβοήθητα" 8 8 0.3454 0.9542 0.1452 0.9542 8 0 2 2.4 8 0.2882
100 "αβοήθητες" 6 6 0.2591 0.8451 0.1089 0.8451 6 0 2 2.45 9 0.2161
101 "αβοήθητη" 37 32 1.5975 1.5798 0.5810 1.5185 34 3 2 2.45 8 1.3328
102 "αβοήθητης" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 2.45 9 0.0360
103 "αβοήθητο" 26 24 1.1226 1.4314 0.4357 1.3979 26 0 2 2.35 8 0.9366
104 "αβοήθητοι" 15 15 0.6476 1.2041 0.2723 1.2041 15 0 1 2.45 9 0.5403
105 "αβοήθητος" 32 32 1.3816 1.5185 0.5810 1.5185 31 1 3 2.3 9 1.1527
106 "αβοήθητους" 13 10 0.5613 1.1461 0.1816 1.0414 13 0 0 2.95 10 0.4683
107 "αβοήθητων" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 0 2.7 9 0.1081
108 "αβοκάντο" 29 24 1.2521 1.4771 0.4357 1.3979 23 6 0 3 8 1.0446
109 "άβολα" 290 245 12.5209 2.4639 4.4481 2.3909 284 6 4 1.75 5 10.4462
110 "άβολες" 6 6 0.2591 0.8451 0.1089 0.8451 6 0 2 1.8 6 0.2161
111 "άβολη" 26 25 1.1226 1.4314 0.4539 1.4150 26 0 3 1.7 5 0.9366
112 "άβολης" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.8 6 0.0360
113 "άβολο" 87 78 3.7563 1.9445 1.4161 1.8976 82 5 4 1.65 5 3.1339
114 "άβολοι" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.85 6 0.0360
115 "άβολος" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 6 1.6 6 0.1441
116 "Αβορίγινα" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 3.55 9 0.0360
117 "Αβορίγινας" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 1 3.55 10 0.0360
118 "Αβορίγινες" 5 4 0.2159 0.7782 0.0726 0.6990 2 3 1 3.6 10 0.1801
119 "Αβορίγινων" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 0 3.7 10 0.0360
120 "άβουλα" 3 2 0.1295 0.6021 0.0363 0.4771 3 0 2 1.85 6 0.1081
121 "άβουλες" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 1 1.85 7 0.0720
122 "άβουλη" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.8 6 0.0360
123 "άβουλο" 3 2 0.1295 0.6021 0.0363 0.4771 3 0 2 1.8 6 0.1081
124 "άβουλος" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 1.85 7 0.1441
125 "αβρά" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 8 1.35 4 0.0360
126 "Αβραάμ" 179 80 7.7284 2.2553 1.4524 1.9085 2 177 0 2.95 6 6.4478
127 "άβραστο" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 1.9 7 0.0360
128 "αβρή" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 6 1.6 4 0.0720
129 "αβρό" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 9 1.4 4 0.1441
130 "αβρός" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 4 1.75 5 0.1801
131 "αβρότητα" 8 6 0.3454 0.9542 0.1089 0.8451 8 0 1 2.3 8 0.2882
132 "αβρότητας" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 0 2.4 9 0.1441
133 "αβροφροσύνη" 9 9 0.3886 1.0000 0.1634 1.0000 8 1 0 4 11 0.3242
134 "αβροφροσύνης" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 0 4.15 12 0.1441
135 "Αβύθιστη" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 1 2.7 8 0.0360
136 "αβύθιστο" 4 3 0.1727 0.6990 0.0545 0.6021 3 1 1 2.65 8 0.1441
137 "αβύθιστος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.7 9 0.0360
138 "αβυσσαλέα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.65 9 0.0360
139 "αβυσσαλέο" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 3.55 9 0.1441
140 "αβυσσαλέος" 4 1 0.1727 0.6990 0.0182 0.3010 4 0 0 3.55 10 0.1441
141 "άβυσσο" 54 44 2.3315 1.7404 0.7988 1.6532 51 3 0 2.7 6 1.9452
142 "άβυσσος" 14 11 0.6045 1.1761 0.1997 1.0792 9 5 1 2.65 7 0.5043
143 "αβύσσου" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 1 2.6 7 0.1801
144 "αβύσσους" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.7 8 0.0360
145 "αγά" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 9 1 3 0.0720
146 "αγάδες" 2 1 0.0864 0.4771 0.0182 0.3010 2 0 5 1.65 6 0.0720
147 "αγαθά" 120 101 5.1811 2.0828 1.8337 2.0086 116 4 5 1.75 5 4.3226
148 "αγαθέ" 4 3 0.1727 0.6990 0.0545 0.6021 2 2 3 1.8 5 0.1441
149 "αγαθές" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 5 1.7 6 0.0720
150 "αγαθή" 12 11 0.5181 1.1139 0.1997 1.0792 9 3 8 1.6 5 0.4323
151 "αγαθιάρα" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 2.75 8 0.1441
152 "Αγαθιάρη" 6 2 0.2591 0.8451 0.0363 0.4771 2 4 1 2.75 8 0.2161
153 "αγαθιάρηδες" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.75 11 0.0720
154 "Αγαθιάρης" 10 5 0.4318 1.0414 0.0908 0.7782 3 7 0 2.9 9 0.3602
155 "αγαθιάρικα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.5 10 0.0360
156 "αγαθό" 65 38 2.8064 1.8195 0.6899 1.5911 61 4 4 1.6 5 2.3414
157 "αγαθοεργές" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.35 10 0.0360
158 "αγαθοεργή" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.5 9 0.0360
159 "αγαθοεργία" 9 9 0.3886 1.0000 0.1634 1.0000 9 0 0 3.5 10 0.3242
160 "αγαθοεργίας" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 3.6 11 0.0720
161 "αγαθοεργίες" 10 10 0.4318 1.0414 0.1816 1.0414 9 1 1 3.8 11 0.3602
162 "αγαθοεργούς" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.7 11 0.0720
163 "Αγαθοί" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 4 1.75 6 0.0360
164 "αγαθόν" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 4 1.75 6 0.1441
165 "αγαθός" 14 14 0.6045 1.1761 0.2542 1.1761 12 2 6 1.6 6 0.5043
166 "αγαθοσύνη" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.2 9 0.0360
167 "αγαθότερες" 6 2 0.2591 0.8451 0.0363 0.4771 6 0 0 3.1 10 0.2161
168 "αγαθού" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 3 1.75 6 0.1801
169 "αγαθούλης" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.8 9 0.0360
170 "αγαθούς" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 1.85 7 0.1441
171 "αγαθών" 18 16 0.7772 1.2788 0.2905 1.2304 16 2 4 1.75 6 0.6484
172 "Αγάθωνα" 10 2 0.4318 1.0414 0.0363 0.4771 0 10 0 2.5 7 0.3602
173 "αγάλι" 4 2 0.1727 0.6990 0.0363 0.4771 2 2 0 2 5 0.1441
174 "αγάλλεται" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.75 9 0.0360
175 "Αγαλλιάζει" 8 6 0.3454 0.9542 0.1089 0.8451 2 6 1 2.7 10 0.2882
176 "αγαλλιάζοντας" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.7 13 0.0360
177 "αγαλλιάζουμε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 3.4 12 0.0360
178 "Αγαλλίασα" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 2 2.5 9 0.0360
179 "αγαλλίασε" 6 6 0.2591 0.8451 0.1089 0.8451 4 2 2 2.3 9 0.2161
180 "αγαλλιάσει" 4 3 0.1727 0.6990 0.0545 0.6021 4 0 1 2.45 10 0.1441
181 "αγαλλίαση" 18 18 0.7772 1.2788 0.3268 1.2788 15 3 2 2.5 9 0.6484
182 "αγαλλίασης" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 2.95 10 0.0720
183 "αγαλλίασιν" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.3 10 0.0360
184 "αγαλλιάσουμε" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 3.3 12 0.0720
185 "Αγαλλιάστε" 12 3 0.5181 1.1139 0.0545 0.6021 1 11 0 2.75 10 0.4323
186 "αγάλλονται" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.05 10 0.0360
187 "άγαλμα" 407 202 17.5724 2.6107 3.6674 2.3075 378 29 0 2 6 14.6608
188 "αγάλματα" 93 66 4.0153 1.9731 1.1983 1.8261 87 6 0 2.4 8 3.3500
189 "αγαλματάκι" 49 18 2.1156 1.6990 0.3268 1.2788 49 0 0 3 10 1.7651
190 "αγαλματάκια" 10 8 0.4318 1.0414 0.1452 0.9542 10 0 0 3.15 11 0.3602
191 "αγαλματένιος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 4.15 12 0.0360
192 "αγαλματίδια" 6 6 0.2591 0.8451 0.1089 0.8451 4 2 1 3.7 11 0.2161
193 "αγαλματίδιο" 4 2 0.1727 0.6990 0.0363 0.4771 4 0 1 4 11 0.1441
194 "αγαλμάτινη" 4 4 0.1727 0.6990 0.0726 0.6990 3 1 0 3.45 10 0.1441
195 "αγαλμάτινος" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.55 11 0.0360
196 "αγάλματος" 16 13 0.6908 1.2304 0.2360 1.1461 16 0 0 2.45 9 0.5763
197 "αγαλμάτων" 9 7 0.3886 1.0000 0.1271 0.9031 8 1 0 2.65 9 0.3242
198 "Αγαμέμνονα" 24 5 1.0362 1.3979 0.0908 0.7782 0 24 0 3.85 10 0.8645
199 "Αγαμέμνονας" 11 3 0.4749 1.0792 0.0545 0.6021 0 11 0 4.3 11 0.3962
200 "Αγαμέμνων" 6 5 0.2591 0.8451 0.0908 0.7782 0 6 0 3.2 9 0.2161
201 "Άγαμες" 1 1 0.0432 0.3010 0.0182 0.3010 0 1 5 1.7 6 0.0360
202 "άγαμη" 10 7 0.4318 1.0414 0.1271 0.9031 9 1 2 1.85 5 0.3602
203 "άγαμης" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 1.8 6 0.0360
204 "αγαμία" 23 21 0.9930 1.3802 0.3813 1.3424 23 0 0 1.9 6 0.8285
205 "αγαμίας" 21 15 0.9067 1.3424 0.2723 1.2041 21 0 1 1.85 7 0.7565
206 "αγαμίες" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 1.9 7 0.0360
207 "άγαμοι" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 2 1.85 6 0.1081
208 "άγαμος" 17 15 0.7340 1.2553 0.2723 1.2041 12 5 4 1.7 6 0.6124
209 "άγαμους" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 1.85 7 0.0720
210 "άγαμων" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.85 6 0.0360
211 "αγανακτείς" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.35 10 0.0720
212 "αγανάκτησα" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 2 2.6 10 0.1801
213 "αγανάκτησε" 4 4 0.1727 0.6990 0.0726 0.6990 2 2 2 2.45 10 0.1441
214 "αγανακτήσει" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.55 11 0.0360
215 "αγανάκτησες" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 2 2.65 11 0.1081
216 "αγανάκτηση" 17 17 0.7340 1.2553 0.3086 1.2553 17 0 2 2.5 10 0.6124
217 "αγανάκτησης" 7 7 0.3022 0.9031 0.1271 0.9031 7 0 1 2.8 11 0.2522
218 "αγανακτήσουν" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 0 3.05 12 0.0720
219 "αγανακτισμένοι" 3 3 0.1295 0.6021 0.0545 0.6021 2 1 1 4.3 14 0.1081
220 "αγανακτισμένος" 4 4 0.1727 0.6990 0.0726 0.6990 4 0 1 4.2 14 0.1441
221 "αγανακτούν" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.85 10 0.0360
222 "αγανακτούσαν" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 3.65 12 0.0360
223 "αγανακτώ" 5 5 0.2159 0.7782 0.0908 0.7782 3 2 0 2.95 8 0.1801
224 "αγανό" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 2 1.8 5 0.0360
225 "Αγάντα" 2 2 0.0864 0.4771 0.0363 0.4771 0 2 6 1.7 6 0.0720
226 "αγαπά" 532 347 22.9694 2.7267 6.2999 2.5416 507 25 3 1.65 5 19.1634
227 "Αγάπα" 79 63 3.4109 1.9031 1.1438 1.8062 25 54 3 1.65 5 2.8457
228 "αγαπάγατε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 0 2.75 9 0.0360
229 "αγάπαγε" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 3 2.2 7 0.0360
230 "αγαπάει" 1454 949 62.7772 3.1629 17.2295 2.9777 1397 57 0 2.1 7 52.3753
231 "αγαπάμε" 486 392 20.9833 2.6875 7.1169 2.5944 461 25 4 1.8 7 17.5064
232 "αγαπάνε" 193 171 8.3329 2.2878 3.1046 2.2355 189 4 3 1.85 7 6.9521
233 "αγαπάς" 2390 1328 103.1895 3.3786 24.1104 3.1235 2256 134 3 1.75 6 86.0914
234 "αγαπάτε" 284 203 12.2618 2.4548 3.6855 2.3096 232 52 4 1.8 7 10.2301
235 "αγαπάω" 2023 978 87.3441 3.3062 17.7560 2.9908 1921 102 1 1.8 6 72.8715
236 "αγάπες" 80 60 3.4540 1.9085 1.0893 1.7853 72 8 5 1.75 6 2.8817
237 "αγάπη" 8687 2611 375.0658 3.9389 47.4038 3.4170 7033 1654 6 1.6 5 312.9188
238 "αγαπηθεί" 12 10 0.5181 1.1139 0.1816 1.0414 12 0 1 2.2 8 0.4323
239 "αγαπηθείς" 8 7 0.3454 0.9542 0.1271 0.9031 8 0 1 2.5 9 0.2882
240 "αγαπηθείτε" 6 2 0.2591 0.8451 0.0363 0.4771 5 1 0 2.8 10 0.2161
241 "αγαπήθηκα" 1 1 0.0432 0.3010 0.0182 0.3010 1 0 1 2.5 9 0.0360
242 "αγαπηθήκαμε" 10 9 0.4318 1.0414 0.1634 1.0000 9 1 1 2.75 11 0.3602
243 "αγαπήθηκαν" 6 6 0.2591 0.8451 0.1089 0.8451 4 2 0 2.6 10 0.2161
244 "αγαπηθήκατε" 2 2 0.0864 0.4771 0.0363 0.4771 2 0 1 3 11 0.0720
245 "αγαπήθηκε" 7 6 0.3022 0.9031 0.1089 0.8451 5 2 1 2.5 9 0.2522
246 "αγαπήθηκες" 3 2 0.1295 0.6021 0.0363 0.4771 2 1 0 2.7 10 0.1081
247 "αγαπηθούμε" 5 5 0.2159 0.7782 0.0908 0.7782 5 0 1 2.7 10 0.1801
248 "αγαπηθούν" 13 11 0.5613 1.1461 0.1997 1.0792 13 0 1 2.45 9 0.4683
249 "αγαπηθώ" 3 3 0.1295 0.6021 0.0545 0.6021 3 0 1 2.15 7 0.1081
250 "αγαπημέ" 8 2 0.3454 0.9542 0.0363 0.4771 8 0 3 1.85 7 0.2882
251 "αγαπημένα" 207 187 8.9373 2.3181 3.3951 2.2742 197 10 3 2.3 9 7.4565
252 "Αγαπημένε" 206 142 8.8942 2.3160 2.5781 2.1553 72 134 3 2.15 9 7.4204
253 "αγαπημένες" 91 81 3.9290 1.9638 1.4706 1.9138 85 6 2 2.25 10 3.2780
254 "αγαπημένη" 845 641 36.4833 2.9274 11.6376 2.8075 690 155 3 2.2 9 30.4382
255 "αγαπημένης" 25 22 1.0794 1.4150 0.3994 1.3617 25 0 2 2.25 10 0.9005
